category_name,orders,revenue,avg_order_value
Computers,442,663000.0,1500.0
Garden,484,257768.73,532.58
Strength Training,111,54895.53,494.55
Crafts,484,223356.33,461.48
Fishing,15164,6929653.69,456.98
Cameras ,592,267607.69,452.04
Basketball,64,27099.33,423.43
Children's Clothing,652,232829.2,357.1
Camping & Hiking,12299,4118425.57,334.86
Sporting Goods,357,117006.75,327.75
Cardio Equipment,11355,3694843.2,325.39
As Seen on  TV!,68,20597.94,302.91
Health and Beauty,362,106080.48,293.04
Kids' Golf Clubs,373,98797.58,264.87
Music,434,113122.1,260.65
Consumer Electronics,431,108991.28,252.88
Women's Golf Clubs,181,44545.97,246.11
Water Sports,13758,3113844.68,226.33
Cleats,20386,4431942.78,217.4
Women's Clothing,650,140283.0,215.82
Men's Clothing,208,43856.8,210.85
Golf Shoes,523,107998.0,206.5
Boxing & MMA,421,85205.41,202.39
Soccer,136,26477.05,194.68
Women's Apparel,17869,3147800.0,176.16
Indoor/Outdoor Games,16623,2888993.91,173.79
Golf Bags & Carts,61,10369.39,169.99
Men's Golf Clubs,280,47035.8,167.99
DVDs,483,79395.54,164.38
Men's Footwear,18783,2891757.66,153.96
Baseball & Softball,628,94057.15,149.77
Tennis & Racquet,327,44585.09,136.35
Hunting & Shooting,436,56848.42,130.39
Shop By Sport,10136,1309522.04,129.2
Girls' Apparel,1191,151706.2,127.38
Electronics,3061,371034.64,121.21
Fitness Accessories,307,35601.44,115.97
Lacrosse,341,39464.79,115.73
Golf Gloves,1064,116695.39,109.68
Pet Supplies,492,41524.8,84.4
Golf Apparel,440,34969.75,79.48
Hockey,609,48360.73,79.41
Accessories,1753,133671.51,76.25
Trade-In,964,68721.78,71.29
Baby ,207,12229.56,59.08
Golf Balls,1444,77098.16,53.39
Video Games,838,33310.5,39.75
Books ,405,12587.4,31.08
Toys,529,6104.66,11.54
CDs ,271,3059.59,11.29
