category_name,orders,revenue,profit,profit_margin_percent
Golf Bags & Carts,61,10369.39,1810.07,17.46
Fitness Accessories,307,35601.44,5258.39,14.77
Toys,529,6104.66,900.71,14.75
Soccer,136,26477.05,3901.95,14.74
Women's Clothing,650,140283.0,19102.85,13.62
Baseball & Softball,628,94057.15,12762.13,13.57
Garden,484,257768.73,33443.01,12.97
Tennis & Racquet,327,44585.09,5747.98,12.89
Music,434,113122.1,14436.32,12.76
CDs ,271,3059.59,383.85,12.55
Baby ,207,12229.56,1525.03,12.47
Accessories,1753,133671.51,16643.52,12.45
Consumer Electronics,431,108991.28,13223.4,12.13
Men's Golf Clubs,280,47035.8,5517.99,11.73
Children's Clothing,652,232829.2,27178.1,11.67
Trade-In,964,68721.78,7915.37,11.52
Golf Shoes,523,107998.0,12406.07,11.49
Crafts,484,223356.33,25531.17,11.43
Girls' Apparel,1191,151706.2,17288.57,11.4
Cameras ,592,267607.69,30289.8,11.32
Women's Golf Clubs,181,44545.97,5028.64,11.29
Cleats,20386,4431942.78,494636.92,11.16
Hockey,609,48360.73,5397.43,11.16
Women's Apparel,17869,3147800.0,350421.03,11.13
Golf Gloves,1064,116695.39,12975.49,11.12
Lacrosse,341,39464.79,4364.29,11.06
Electronics,3061,371034.64,40891.38,11.02
Indoor/Outdoor Games,16623,2888993.91,318451.43,11.02
Fishing,15164,6929653.69,756220.77,10.91
Golf Balls,1444,77098.16,8342.67,10.82
Men's Footwear,18783,2891757.66,311902.82,10.79
Sporting Goods,357,117006.75,12518.61,10.7
Hunting & Shooting,436,56848.42,5980.0,10.52
Computers,442,663000.0,69656.81,10.51
Water Sports,13758,3113844.68,325146.96,10.44
Camping & Hiking,12299,4118425.57,427455.57,10.38
Cardio Equipment,11355,3694843.2,383011.1,10.37
Boxing & MMA,421,85205.41,8641.37,10.14
Golf Apparel,440,34969.75,3496.31,10.0
Shop By Sport,10136,1309522.04,129813.96,9.91
Kids' Golf Clubs,373,98797.58,9045.84,9.16
Health and Beauty,362,106080.48,9493.63,8.95
Pet Supplies,492,41524.8,3589.26,8.64
DVDs,483,79395.54,6655.43,8.38
Video Games,838,33310.5,2717.52,8.16
Books ,405,12587.4,883.01,7.02
Basketball,64,27099.33,1845.67,6.81
Men's Clothing,208,43856.8,2006.04,4.57
As Seen on  TV!,68,20597.94,714.43,3.47
Strength Training,111,54895.53,332.31,0.61
